class,positive_rate,baseline_f1,f1_main,aucroc_main,f1_gnn,aucroc_gnn,f1_transformer,aucroc_transformer,f1_fused,aucroc_fused,gnn_delta_vs_baseline
CallToUnknown,0.082,0.14089347079037803,0.1414141414141414,0.7824140496306924,0.0,0.7482265263829109,0.0,0.7284393432169615,0.06896551724137931,0.7767283064987512,-0.14089347079037803
DenialOfService,0.011,0.021526418786692758,0.42857142857142855,0.7946502435885652,0.0,0.7263535251401784,0.0,0.5588748965897601,0.16666666666666666,0.8027392223549958,-0.021526418786692758
ExternalBug,0.059,0.10554561717352416,0.0,0.7962679443073543,0.0,0.6900430483257983,0.0,0.7714656243808427,0.0,0.7962859561591527,-0.10554561717352416
GasException,0.115,0.1869918699186992,0.20606060606060606,0.8344092360599361,0.04838709677419355,0.7895897813804962,0.032520325203252036,0.8261950380741833,0.1037037037037037,0.8347924342913289,-0.13860477314450564
IntegerUO,0.309,0.3819530284301607,0.7339449541284404,0.8783386958537648,0.5440313111545988,0.7971890089406564,0.6820428336079077,0.8601342269306245,0.7304625199362041,0.8708780014893287,0.16207828272443808
MishandledException,0.092,0.1554054054054054,0.08928571428571429,0.7812081018961885,0.0,0.7067372150928941,0.0,0.7774612143267573,0.0,0.7733432292664241,-0.1554054054054054
Reentrancy,0.102,0.16943521594684385,0.2302158273381295,0.7696951831957728,0.019230769230769232,0.7158773308878117,0.0,0.7353487051836325,0.1864406779661017,0.761638062797502,-0.15020444671607464
Timestamp,0.035,0.06542056074766356,0.09523809523809523,0.7515321983715766,0.10810810810810811,0.7098149518874909,0.13114754098360656,0.758460399703923,0.03508771929824561,0.7608586232420429,0.042687547360444555
TransactionOrderDependence,0.074,0.1289198606271777,0.09195402298850575,0.7939554024867199,0.0,0.7367272780339735,0.0,0.8130144183059951,0.0,0.7808942852139397,-0.1289198606271777
UnusedReturn,0.052,0.09420289855072463,0.07272727272727272,0.7751541707237909,0.0,0.7084854754949692,0.0,0.756897111327491,0.0,0.7651533592989289,-0.09420289855072463
