class,n_positives,phase1_mean,phase1_std,phase2_mean,phase2_std,phase3_mean,phase3_std,mean_entropy,dominant_phase
CallToUnknown,82,0.3128705620765686,0.01546457502990961,0.31563785672187805,0.011380194686353207,0.37149155139923096,0.023335350677371025,1.0940648433638782,Phase3
DenialOfService,11,0.30938956141471863,0.013886658474802971,0.3139914274215698,0.010771377012133598,0.37661904096603394,0.019013172015547752,1.0934903730045666,Phase3
ExternalBug,59,0.31216293573379517,0.021318314597010612,0.3195185363292694,0.011565782129764557,0.3683185279369354,0.02779567614197731,1.0938636933342885,Phase3
GasException,115,0.3120657801628113,0.01684972643852234,0.316821426153183,0.01376202329993248,0.37111249566078186,0.024583743885159492,1.0938726238582446,Phase3
IntegerUO,309,0.31484314799308777,0.0140029676258564,0.3183235824108124,0.011856763623654842,0.36683347821235657,0.02072354592382908,1.094997530616217,Phase3
MishandledException,92,0.31266215443611145,0.012907233089208603,0.31611737608909607,0.01270544994622469,0.37122026085853577,0.0212258230894804,1.094302130782086,Phase3
Reentrancy,102,0.31489986181259155,0.01676373928785324,0.31689924001693726,0.01183906476944685,0.3682008385658264,0.02418418973684311,1.094452607865427,Phase3
Timestamp,35,0.3163856565952301,0.011920454911887646,0.31685495376586914,0.01071961224079132,0.366759330034256,0.019447600468993187,1.0952161788940429,Phase3
TransactionOrderDependence,74,0.3130759298801422,0.015063581988215446,0.3185756206512451,0.01271422766149044,0.3683483302593231,0.020388005301356316,1.0946887119396314,Phase3
UnusedReturn,52,0.3105155825614929,0.021979140117764473,0.31891295313835144,0.012602990493178368,0.37057140469551086,0.029490945860743523,1.093274203630594,Phase3
